Exercise,Weight,Reps,Date
Front Squat,92.5,1,2023-06-01
Snatch,65.0,1,2023-06-01
Back Squat,110.0,1,2023-06-01
Power Snatch,57.5,1,2023-06-01
Deadlift,110.0,1,2023-06-01
Power Clean,75.0,1,2023-06-01
Clean and Jerk,70.0,1,2023-06-01
Push Jerk,62.5,1,2023-06-01
Split Jerk,72.5,1,2023-06-01
Bench Press,70.0,1,2023-06-01
Hang Snatch,57.5,1,2023-06-01
Overhead Squat,57.5,1,2023-06-01
Push Press,52.5,1,2023-06-01
Hang Clean,70.0,1,2023-06-01
Clean,82.5,1,2023-06-01
Strict Press,50.0,1,2023-06-01
Back Squat,90.0,3,2023-06-08
Deadlift,90.0,3,2023-06-12 00:00:00
Snatch,50.0,3,2023-06-16 00:00:00
Overhead Squat,40.0,2,2023-06-16 00:00:00
Strict Press,35.5,5,2023-06-16 00:00:00
Hang Clean,67.0,2,2023-06-26 00:00:00
Clean,75.0,1,2023-06-26 00:00:00
Snatch,52.5,1,2023-07-03 00:00:00
Clean,85.0,1,2023-07-06 00:00:00
Front Squat,65.0,2,2023-07-31 00:00:00
Push Press,40.0,11,2023-07-31 00:00:00
Overhead Squat,45.0,2,2023-08-08 00:00:00
Bench Press,65.0,2,2023-08-08 00:00:00
Hang Clean,58.0,5,2023-08-09 00:00:00
Clean and Jerk,50.0,3,2023-08-09 00:00:00
Snatch,40.0,3,2023-08-09 00:00:00
Front Squat,77.5,1,2023-08-14 00:00:00
Strict Press,35.0,8,2023-08-14 00:00:00
Push Press,50.0,1,2023-08-14 00:00:00
Overhead Squat,55.0,1,2023-08-23 00:00:00
Bench Press,65.0,1,2023-08-23 00:00:00
Clean and Jerk,65.0,2,2023-08-25 00:00:00
Snatch,47.5,2,2023-08-25 00:00:00
Front Squat,77.5,3,2023-08-28 00:00:00
Back Squat,77.5,6,2023-08-28 00:00:00
Strict Press,37.5,6,2023-08-28 00:00:00
Push Press,52.5,1,2023-08-28 00:00:00
Power Snatch,60.0,1,2023-08-31 00:00:00
Overhead Squat,60.0,1,2023-08-31 00:00:00
Bench Press,75.0,1,2023-08-31 00:00:00
Clean and Jerk,72.5,1,2023-09-05 00:00:00
Snatch,47.5,1,2023-09-05 00:00:00
Front Squat,95.0,1,2023-09-07 00:00:00
Push Press,65.0,1,2023-09-07 00:00:00
Strict Press,40.0,6,2023-09-07 00:00:00
Power Snatch,62.5,1,2023-09-11 00:00:00
Overhead Squat,62.5,1,2023-09-11 00:00:00
Bench Press,80.0,1,2023-09-11 00:00:00
Snatch,52.5,1,2023-09-15 00:00:00
Power Clean,77.5,1,2023-09-15 00:00:00
Clean and Jerk,77.5,1,2023-09-15 00:00:00
Back Squat,97.5,2,2023-10-03 00:00:00
Front Squat,67.5,8,2023-10-03 00:00:00
Strict Press,45.0,2,2023-10-03 00:00:00
Push Press,50.0,8,2023-10-03 00:00:00
Deadlift,97.5,2,2023-10-07 00:00:00
Clean,68.0,2,2023-10-07 00:00:00
Snatch,55.0,1,2023-10-09 00:00:00
Back Squat,97.5,2,2023-10-11 00:00:00
Strict Press,47.5,2,2023-10-11 00:00:00
Deadlift,100.0,2,2023-10-13 00:00:00
Power Clean,72.5,2,2023-10-13 00:00:00
Clean,70.0,2,2023-10-13 00:00:00
Snatch,45.0,2,2023-10-16 00:00:00
Back Squat,95.0,2,2023-10-18 00:00:00
Strict Press,55.0,2,2023-10-18 00:00:00
Deadlift,107.5,2,2023-10-21 00:00:00
Clean,60.0,2,2023-10-21 00:00:00
Snatch,55.0,1,2023-10-25 00:00:00
Back Squat,120.0,1,2023-10-27 00:00:00
Strict Press,60.0,1,2023-10-27 00:00:00
Deadlift,115.0,1,2023-10-31 00:00:00
Clean,80.0,1,2023-10-31 00:00:00
Snatch,55.0,1,2023-11-06 00:00:00
Overhead Squat,42.5,2,2023-11-27 00:00:00
Clean and Jerk,57.5,2,2023-11-27 00:00:00
Deadlift,80.0,3,2024-02-01 00:00:00
Overhead Squat,37.5,2,2024-02-05 00:00:00
Clean and Jerk,47.5,2,2024-02-05 00:00:00
Bench Press,45.0,10,2024-02-06 00:00:00
Front Squat,70.0,2,2024-02-08 00:00:00
Push Press,50.0,2,2024-02-08 00:00:00
Snatch,45.0,1,2024-02-12 00:00:00
Overhead Squat,45.0,2,2024-02-13 00:00:00
Clean and Jerk,57.5,1,2024-02-13 00:00:00
Front Squat,77.5,2,2024-02-15 00:00:00
Push Press,55.0,2,2024-02-15 00:00:00
Strict Press,40.0,5,2024-02-15 00:00:00
Snatch,52.5,2,2024-02-18 00:00:00
Overhead Squat,50.0,2,2024-02-19 00:00:00
Clean and Jerk,70.0,2,2024-02-19 00:00:00
Front Squat,82.5,2,2024-02-23 00:00:00
Push Press,60.0,2,2024-02-23 00:00:00
Snatch,57.5,1,2024-02-27 00:00:00
Power Snatch,60.0,1,2024-02-27 00:00:00
Overhead Squat,65.0,1,2024-02-28 00:00:00
Push Press,77.5,1,2024-02-28 00:00:00
Front Squat,100.0,1,2024-03-04 00:00:00
Clean and Jerk,75.0,1,2024-03-04 00:00:00
Snatch,60.0,1,2024-03-07 00:00:00
